,Kode MK,MK,CPL,Kode BK,BK,Kode CPMK,CPMK,Kode SubCPMK,SubCPMK,MetodePembelajaran,Bentuk Pembelajaran,Bentuk Penilaian,Kriteria Penilaian,Materi Pembelajaran,SubCPMK Lama,Materi Pembelajaran Lama,Deskripsi
"Candra Bella Vista, S.Kom., MT.
Wilda Imama Sabilla, S.Kom., M.Kom.",MK023,Basis Data Lanjut,"(CLP02) 
Menguasai konsep teoritis bidang pengetahuan mengenai berbagai prinsip rekayasa sistem/perangkat lunak dalam merancang solusi aplikasi multi-platform yang relevan dengan kebutuhan stakeholder.",BK6,Data and Information Management,CPMK203,"Merancang skema dan arsitektur manajemen data yang efektif dan terstruktur untuk mendukung solusi aplikasi multi-platform dengan mempertimbangkan integritas data, kebutuhan informasi stakeholder, serta efisiensi dalam operasi query dan skalabilitas sistem",SCPMK203-02301,"Mahasiswa mampu menggunakan dan merancang arsitektur Database Management System (DBMS) tingkat enterprise untuk mendukung integritas data, efisiensi query, dan skalabilitas sistem multi-platform.",Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),"Praktikum berbasis proyek, Latihan implementasi mandiri, diskusi","Observasi (Praktik/ Tugas), Quiz, Tes Tulis (UTS)","Kualitas Analisis Kebutuhan dan Arsitektur Data (40%), Kualitas Perancangan Skema & Dukungan Skalabilitas (40%), Ketepatan Pertimbangan Integritas Data dan Efisiensi Query (20%)","1. Pengenalan PostgreSQL dan Instalasi
","Sub CPMK - 03.1.1
Mahasiswa mampu menggunakan dan mengelola Database Management System
(DBMS) pada tingkat enterprise
Sub CPMK - 03.1.2
Mahasiswa mampu merancang, membangun, dan memanipulasi basis data
menggunakan perintah SQL dasar dan lanjutan, seperti DDL, DML, indeks, view, fungsi, stored procedure, trigger, transaction, full-text search, dan JSONB
Sub CPMK - 03.1.3
Mahasiswa mampu mengoptimalkan, memigrasikan, mencadangkan, memulihkan, dan
mengintegrasikan basis data dengan aplikasi untuk menjaga efisiensi, integritas, dan ketersediaan data
","1. Pengenalan PostgreSQL dan Instalasi
2. Query Dasar (DDL dan DML)
3. Query Lanjutan (SELECT, JOIN, AGREGASI, TABLE EXPRESSION)
4. INDEX dan Optimasi Query
5. Fungsi, View, dan Stored Procedure
6. Transaction dan Concurrency
7. Full-Text SEARCh dan JSONB
8. Backup-Restore dan Migrasi MySQL → PostgreSQL
9. Studi Kasus Integrasi dengan Aplikasi

METODE PEMBELAJARAN:
1. Ceramah/Kuliah Pakar,
2. Praktikum
3. Project Based Learning
4. Diskusi Kelompok
","Basis Data Lanjut adalah sebuah matakuliah yang diharapkan dapat memberikan pengetahuan dan keterampilan dalam pengelolaan data pada DBMS
relasional enterprise. Pengetahuan dan keterampilan tersebut meliput teknik-teknik kueri kompleks serta prosedur-prosedur pengadministrasian database."
,,,"CPL07 Mampu mengembangkan sistem komputasi cerdas, analisis data dengan menerapkan algoritma dan teknik kecerdasan artifisial secara tepat guna",,,CPMK701,"Mampu merancang, mengimplementasikan, dan mengevaluasi sistem manajemen data yang handal untuk mendukung kebutuhan penyimpanan dan pengelolaan informasi",SCPMK203-02302,"Mahasiswa mampu merancang, membangun, dan memanipulasi basis data menggunakan SQL lanjutan (DDL, DML, indeks, view, fungsi, stored procedure, trigger, transaction, full-text search, dan JSON/JSONB) untuk menghasilkan sistem manajemen data yang handal.",Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),"Praktikum berbasis proyek, Latihan implementasi mandiri, diskusi","Observasi (Praktik/ Tugas), Quiz","Kualitas Perancangan Solusi Manajemen Data (30%), Ketepatan Konsep Implementasi Fitur Lanjutan DBMS (40%), Kualitas Evaluasi Performa dan Keandalan Sistem (30%)","2. Query Dasar (DDL dan DML)
3. Query Lanjutan (SELECT, JOIN, AGREGASI, TABLE EXPRESSION)
4. INDEX dan Optimasi Query
5. Fungsi, View, dan Stored Procedure
6. Transaction dan Concurrency
7. Full-Text SEARCh dan JSONB
8. Backup-Restore dan Migrasi MySQL → PostgreSQL",,,
,,,"(CPL10)
Memiliki kompetensi untuk menganalisis persoalan kompleks untuk mengidentifikasi solusi bidang informatika/ilmu komputer dengan mempertimbangkan wawasan ilmu multidisiplin",,,CPMK1001,Mampu menganalisis permasalahan pengelolaan data dan informasi yang bersifat kompleks dengan wawasan multidisiplin untuk merancang serta mengimplementasikan solusi berbasis basis data yang sesuai dengan kebutuhan organisasi atau bisnis.,SCPMK203-02303,"Mahasiswa mampu menganalisis, mengoptimalkan, memigrasikan, mencadangkan, memulihkan, serta mengintegrasikan basis data dengan aplikasi untuk menjaga efisiensi, integritas, dan ketersediaan data dalam konteks organisasi atau bisnis.",Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),"Praktikum berbasis proyek, Latihan implementasi mandiri, diskusi","Observasi (Praktik/ Tugas), Unjuk Kerja (Presentasi), Tes Tulis (UAS), Tes Lisan (Tugas Kelompok)","Ketepatan Analisis Permasalahan dan Konteks Organisasi (30%), Kualitas Solusi Basis Data yang Diusulkan (50%), Keterpaduan Argumen dan Kejelasan Penyajian (20%)",9. Studi Kasus Integrasi dengan Aplikasi,,,
"Triana Fatmawati, S.T., M.T.
",MK024,Metode Numerik,CPL09        Memiliki pemahaman yang memadai terkait cara kerja sistem komputer dan berbagai teknik/pendekatan berbasis komputasi untuk memecahkan masalah  stakeholder,,"Computational Science, Discrete Structures",CPMK902,"Mahasiswa mampu menguasai prinsip matematika, ilmu alam dan struktur diskrit serta menerapkan pendekatan komputasional sebagai dasar analisis terhadap permasalahan.",,"Mahasiswa mampu membedakan metode analitik dan metode numerik, menjelaskan konsep galat (error) sebagai dasar analisis akurasi, serta menerapkan pendekatan komputasional untuk menyelesaikan masalah numerik sederhana secara logis dan sistematis.",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Penjelasan konsep, latihan soal terstruktur, pemberian tugas untuk menerapkan pendekatan komputasional pada soal numerik sederhana","Observasi (Praktik/ Tugas), Quiz, Tes Tulis (UTS)","Kemampuan membedakan metode analitik dan numerik (30%)
Ketepatan menerapkan konsep umum metode numerik dan galat (30%)
","1. Metode Numerik dan Metode Analitik
2. Galat (error)
3. Sistem Persamaan Lanjar",,,
,,,"(CPL10)
Memiliki kompetensi untuk menganalisis persoalan kompleks untuk mengidentifikasi solusi bidang informatika/ilmu komputer dengan mempertimbangkan wawasan ilmu multidisiplin",BK21,Discrete Structures,CPMK1007,"Mampu menganalisis persoalan komputasi numerik yang kompleks dengan memanfaatkan konsep struktur diskrit (logika, relasi, fungsi, graf, dan matriks) untuk merumuskan dan memilih solusi numerik yang tepat.",,"Mahasiswa mampu memodelkan, memilih, dan menerapkan metode penyelesaian numerik yang tepat untuk sistem persamaan linear, persamaan non-linear, diferensiasi numerik, integrasi numerik, interpolasi, dan regresi, serta mengevaluasi hasilnya untuk menentukan solusi yang paling sesuai.",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Penjelasan konsep, diskusi, latihan soal pemodelan dan pemilihan metode, tugas  untuk penerapan metode dan evaluasi hasil","Tes Tulis (UTS), Quiz, Tes Tulis (UAS), Observasi (Praktik/ Tugas)",,"4. Persamaan Non-Lanjar
5. Diferensial Numerik
6. Integrasi Numerik
7. Interpolasi
8. Regresi",,,
"M. Hasyim Ratsanjani, S.Kom., M.Kom.
",MK025,Pemrograman Berbasis Objek,"(CLP02) 
Menguasai konsep teoritis bidang pengetahuan mengenai berbagai prinsip rekayasa sistem/perangkat lunak dalam merancang solusi aplikasi multi-platform yang relevan dengan kebutuhan stakeholder.",BK26,Systems Analysis & Design,CPMK211,"Menerapkan metodologi analisis dan desain sistem secara terstruktur untuk mentransformasi kebutuhan stakeholder menjadi spesifikasi teknis yang komprehensif bagi pengembangan aplikasi multi-platform, dengan menghasilkan artefak desain yang mencakup aspek fungsional, non-fungsional, dan arsitektural yang dapat diimplementasikan",,"Menerapkan konsep inheritance dalam pemodelan kelas untuk menghasilkan desain sistem yang modular, reusable, dan scalable ",Pembelajaran Kolaboratif (Collaborative Learning/CL),Diskusi kelompok untuk mengidentifikasi entitas dan hubungan pewarisan dalam studi kasus. Peer-review atas diagram kelas yang dihasilkan.,"1. Penilaian Proses (30%):
- Keaktifan dalam diskusi dan workshop.
- Peer-assessment dalam kerja kelompok.
- Kemajuan iteratif dalam pembuatan artefak proyek.

2. Penilaian Produk (70%):
- Tugas 1 (Diagram & Dokumen Desain - 30%): Kumpulan diagram kelas UML dengan inheritance yang tepat dan dokumen spesifikasi teknis singkat.
- Tugas 2 (Implementasi & Presentasi - 40%): Kode prototipe sederhana yang merealisasikan desain, beserta presentasi yang menjelaskan bagaimana inheritance diterapkan untuk memenuhi kebutuhan fungsional/non-fungsional.","1. Relevansi & Ketepatan Analisis (30%)
2. Kualitas Desain & Artefak (40%)
3. Kualitas Implementasi & Argumentasi (30%)
","5. Inheritance
2. Class
7. Abstract Class 
","5.1.3.1 SUBCPMK1
Mahasiswa mampu menguasai Konsep OOP, Class dan Object, Enkapsulasi, Inheritance, Abstraksi, Polimorfisme, GUI, database (JDBC), dan Java API
5.1.3.2 SUBCPMK2
Mahasiswa mampu memahami perbedaan OOP dan struktural;
5.1.3.3 SUBCPMK3
Mampu membuat desain aplikasi menggunakan konsep dan prinsip OOP.
","1. Konsep Pemrograman Berorientasi Objek
2. Class
3. Object
4. Enkapsulasi
5. Inheritance
6. Polimorfisme
7. Abstract Class 
8. Interface
9. API
10. Pengenalan GUI dan database 
","Mata kuliah Pemrograman Berbasis Objek membahas konsep dasar Pemrograman Berorientasi Objek (OOP), struktur Class dan Object dalam OOP, konsep Enkapsulasi, Inheritance, Abstraksi, dan Polimorfisme dalam OOP serta dasar-dasar pembuatan antarmuka pengguna grafis (GUI), JDBC, dan berbagai API yang tersedia dalam Java"""
,,,"CPL07 Mampu mengembangkan sistem komputasi cerdas, analisis data dengan menerapkan algoritma dan teknik kecerdasan artifisial secara tepat guna",BK13,Programming Language,CPMK704,Mampu menganalisis kebutuhan pemecahan masalah dan mengembangkan program menggunakan berbagai bahasa dan paradigma pemrograman secara tepat guna,,Menganalisis kebutuhan masalah dan merancang solusi program dengan memodelkan entitas dan interaksinya menggunakan konsep dasar Pemrograman Berorientasi Objek,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Menganalisis studi kasus masalah dunia nyata (misal: sistem inventaris, aplikasi perpustakaan mini) untuk mengidentifikasi entitas, atribut, dan perilaku, lalu mentransformasikannya menjadi rancangan class dan object.","1. Penilaian Formatif (40%)
- Kuis Singkat: Pemahaman konseptual tentang perbedaan class/object, enkapsulasi, dan polimorfisme.
2. Penilaian Sumatif (60%)
- Dokumen Analisis & Desain (20%): Identifikasi kebutuhan dan diagram class.","1. Kualitas Analisis & Perancangan (30%)
2. Kualitas Implementasi Konsep (50%)
3. Kualitas Hasil Akhir & Presentasi (20%)","1. Konsep Pemrograman Berorientasi Objek
2. Class 
3. Object",,,
,,,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder",BK25,Software Process,CPMK606,Mampu mengelola proses deployment dan menyusun rencana memelihara perangkat lunak sesuai dengan metodologi siklus hidup pengembangan (SDLC).,,Merancang dan mengimplementasikan struktur kelas dengan prinsip enkapsulasi dan antarmuka (interface) yang jelas untuk memfasilitasi proses deployment yang konsisten dan perawatan (maintenance) perangkat lunak yang lebih mudah dalam siklus pengembangannya,Guided Practice (Latihan Terbimbing),"
Praktikum yang menggabungkan pemrograman (menerapkan interface, mengakses DB),","1. Penilaian Proses & Partisipasi (30%):
- Kontribusi dalam diskusi role-playing dan analisis studi kasus.
2. Penilaian Produk & Proyek (70%):
Menganalisis kode legacy yang diberikan, mengusulkan perbaikan dengan enkapsulasi dan interface, serta membuat rencana deployment incremental","1. Pemahaman Konseptual  (25%)
2. Kualitas Desain & Implementasi (50%)","4. Enkapsulasi
8. Interface
",,,
,,,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder
",BK26,Systems Analysis & Design,CPMK607,Mampu menganalisis kebutuhan organisasi untuk merancang serta mengimplementasikan solusi sistem informasi terintegrasi yang kompleks.,,"Mengimplementasikan integrasi antar subsistem dalam solusi sistem informasi melalui penggunaan interface yang terdefinisi dengan baik dan API, serta merancang layer presentasi (GUI) dan persistensi data (database) yang sesuai dengan kebutuhan pengguna dan arsitektur sistem.",Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),"
Mahasiswa membangun aplikasi desktop/CRUD sederhana (misal: Sistem Manajemen Perpustakaan, Toko Buku) dari nol yang mengharuskan integrasi ketiga komponen: GUI (JavaFX/Swing), Business Logic (Java dengan Interface), Database (JDBC/SQLite). ","1. Penilaian Proses & Partisipasi (30%)
- Kehadiran & Kontribusi Diskusi
2. Penilaian Produk Akhir & Ujian (70%)
- Dokumen Desain (15%): Diagram kelas (dengan interface), diagram arsitektur, skema database.
- Implementasi Kode (35%): Aplikasi berfungsi dengan GUI, logika bisnis menggunakan interface, dan database persisten.
- Ujian Praktek Terstruktur (20%): Ujian lab dimana mahasiswa diminta menambahkan fitur baru (misal: integrasi dengan file CSV menggunakan Java I/O API) ke kode dasar yang diberikan, dengan memperhatikan prinsip interface.","1. Kualitas Desain Arsitektur & Penggunaan Interface (35%)
2. Keterampilan Teknis Implementasi (40%)
3. Kelengkapan, Fungsi, & Dokumentasi (25%)","8. Interface
9. JAVA API
10.Pengenalan GUI dan Database",,,
"M. Hasyim Ratsanjani, S.Kom., M.Kom.
",MK026,Praktikum Pemrograman Berbasis Objek,"(CLP02) 
Menguasai konsep teoritis bidang pengetahuan mengenai berbagai prinsip rekayasa sistem/perangkat lunak dalam merancang solusi aplikasi multi-platform yang relevan dengan kebutuhan stakeholder.",BK26,Systems Analysis & Design,CPMK211,"Menerapkan metodologi analisis dan desain sistem secara terstruktur untuk mentransformasi kebutuhan stakeholder menjadi spesifikasi teknis yang komprehensif bagi pengembangan aplikasi multi-platform, dengan menghasilkan artefak desain yang mencakup aspek fungsional, non-fungsional, dan arsitektural yang dapat diimplementasikan",,,,,,,,"5.1.3.1 SUBCPMK1
Mahasiswa mampu menguasai Konsep OOP, Class dan Object, Enkapsulasi, Inheritance, Abstraksi, Polimorfisme, GUI, database (JDBC), dan Java API
5.1.3.2 SUBCPMK2
Mahasiswa mampu memahami perbedaan OOP dan struktural;
5.1.3.3 SUBCPMK3
Mampu membuat desain aplikasi menggunakan konsep dan prinsip OOP.
","1. Konsep Pemrograman Berorientasi Objek
2. Class
3. Object
4. Enkapsulasi
5. Inheritance
6. Polimorfisme
7. Abstract Class 
8. Interface
9. API
10. Pengenalan GUI dan database 
","Mata kuliah Pemrograman Berbasis Objek membahas konsep dasar Pemrograman Berorientasi Objek (OOP), struktur Class dan Object dalam OOP, konsep Enkapsulasi, Inheritance, Abstraksi, dan Polimorfisme dalam OOP serta dasar-dasar pembuatan antarmuka pengguna grafis (GUI), JDBC, dan berbagai API yang tersedia dalam Java"""
,,,"CPL07 Mampu mengembangkan sistem komputasi cerdas, analisis data dengan menerapkan algoritma dan teknik kecerdasan artifisial secara tepat guna",BK13,Programming Language,CPMK704,Mampu menganalisis kebutuhan pemecahan masalah dan mengembangkan program menggunakan berbagai bahasa dan paradigma pemrograman secara tepat guna,,,,,,,,,,
,,,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder
",BK26,Systems Analysis & Design,CPMK607,Mampu menganalisis kebutuhan organisasi untuk merancang serta mengimplementasikan solusi sistem informasi terintegrasi yang kompleks.,,,,,,,,,,
"Farida Ulfa, S.Pd., M.Pd.
",MK027,Bahasa Inggris 2,"(CPL03)
Memiliki kemampuan (pengelolaan) manajerial tim dan kerja sama (team work), manajemen diri, mampu berkomunikasi baik lisan maupun tertulis dengan baik dan mampu melakukan presentasi.",BK30,Pengembangan Diri,CPMK303,"Mampu mengembangkan diri secara berkelanjutan melalui komunikasi lisan dan tertulis yang efektif dalam konteks akademik dan profesional, presentasi diri dan ide secara percaya diri, serta pengelolaan karir dan kinerja di lingkungan kerja nyata.",SPCMK303-02701,"Mahasiswa mampu berkomunikasi dengan menggunakan bahasa Inggris secara lisan dan tulisan dalam konteks Teknik Informatika.
",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Diskusi kelompok, latihan komunikasi lisan dan tulisan","Observasi (Praktik/ Tugas), Unjuk Kerja (Presentasi), Partisipasi, Quiz, Tes Tulis (UTS), Tes Tulis (UAS)",Ketepatan komunikasi lisan dan tulisan dalam konteks Teknik Informatika,"Programming, Database, Computer Security - kosakata dan tata bahasa (if-clause, simple past tense) dalam konteks Teknik Informatika","3.2.1.1 SUBCPMK1 Mahasiswa mampu menerapkan pengetahuan tentang teknik berkomunikasi lisan dan tulisan menggunakan bahasa Inggris dalam konteks Teknik Informatika.

3.2.1.2 SUBCPMK2 Mahasiswa mampu berkomunikasi dengan menggunakan bahasa Inggris secara lisan dan tulisan dalam konteks Teknik Informatika.

3.2.1.3 SUBCPMK3 Mampu menyampaikan opini, argumentasi, pertanyaan, dan jawaban menggunakan bahasa Inggris dalam kegiatan diskusi atau presentasi akademik.

","Topic 1: Programming 
1.1 Stages in Programming
1.2 Flowcharting
1.3 Programming Language
1.4 Grammatical Functions: Reporting Screen Message
 
Topic 2: Database
2.1. Database Basics
2.2. Grammatical Functions:  If-Clause 
2.3. Data Processing
2.4. Data Storage Device

Topic 3: Computer Security
3.1. Computer Threats and Safety
3.2. Grammatical Functions: Simple Past Tense 

Topic 4: E-commerce
4.1. Online Shopping and Transactions
4.2. Online Shop Features
4.3. Grammatical Functions: Nouns, Adverbs of Quantity, and Linking Ideas
4.4. Online Transaction Security

Topic 5: E-Publishing: Product Page
5.1. Product Page
5.2. Product Descriptions
5.3. Grammatical Functions Used in Describing Products

Topic 6: Recent Developments in Information Technology 
6.1. Video Games
6.2. Other Current Developments in IT
6.3. Grammatical Functions: Simple Future Tense
6.4. Writing a Summary of an IT-related Article
","Nama mata kuliah ini adalah Bahasa Inggris 2 diajarkan untuk mahasiswa Program Studi Teknik Informatika yang difokuskan pada melatihan kemampuan dan kecakapan mereka dalam Listening, Speaking, Reading, dan Writing secara terintegrasi dalam konteks Teknik Informatika. Sehingga topik-topik pada materi ini disesuaikan dengan konteks bidang Informatika yang dapat diterapkan dalam kehidupan sehari-hari dan di dunia kerja kelak. Metode yang dilakukan selama proses belajar-mengajar meliputi ceramah, diskusi, role play, presentasi, debat, dan project individu maupun kelompok, dan dilakukan secara luring.  Mata kuliah ini juga mendukung penerapan Case Method dan Project Based Learning yang direncanakan tim kurikulum setiap semester-nya"
